SELECT * FROM `permisos`;


id_permiso	permiso	etiqueta	descripcion	kid_tabla	kid_creacion	fecha_creacion	kid_estatus	
51	ver_compras_cuentas_bancarias	Ver Compras Cuentas Bancarias	Permiso para Ver Compras Cuentas Bancarias	13	1	2025-03-14 13:16:28	1	
52	eliminar_compras_cuentas_bancarias	Eliminar Compras Cuentas Bancarias	Permiso para Eliminar Compras Cuentas Bancarias	13	1	2025-03-14 13:16:28	1	
53	crear_conceptos	Crear Conceptos	Permiso para Crear Conceptos	14	1	2025-03-14 13:16:28	1	
54	editar_conceptos	Editar Conceptos	Permiso para Editar Conceptos	14	1	2025-03-14 13:16:28	1	
55	ver_conceptos	Ver Conceptos	Permiso para Ver Conceptos	14	1	2025-03-14 13:16:28	1	
56	eliminar_conceptos	Eliminar Conceptos	Permiso para Eliminar Conceptos	14	1	2025-03-14 13:16:28	1	
57	crear_configuraciones	Crear Configuraciones	Permiso para Crear Configuraciones	15	1	2025-03-14 13:16:28	1	
58	editar_configuraciones	Editar Configuraciones	Permiso para Editar Configuraciones	15	1	2025-03-14 13:16:28	1	
59	ver_configuraciones	Ver Configuraciones	Permiso para Ver Configuraciones	15	1	2025-03-14 13:16:28	1	
60	eliminar_configuraciones	Eliminar Configuraciones	Permiso para Eliminar Configuraciones	15	1	2025-03-14 13:16:28	1	
61	crear_cotizaciones_compras	Crear Cotizaciones Compras	Permiso para Crear Cotizaciones Compras	16	1	2025-03-14 13:16:28	1	
62	editar_cotizaciones_compras	Editar Cotizaciones Compras	Permiso para Editar Cotizaciones Compras	16	1	2025-03-14 13:16:28	1	
63	ver_cotizaciones_compras	Ver Cotizaciones Compras	Permiso para Ver Cotizaciones Compras	16	1	2025-03-14 13:16:28	1	
64	eliminar_cotizaciones_compras	Eliminar Cotizaciones Compras	Permiso para Eliminar Cotizaciones Compras	16	1	2025-03-14 13:16:28	1	
65	crear_cuentas_bancarias	Crear Cuentas Bancarias	Permiso para Crear Cuentas Bancarias	17	1	2025-03-14 13:16:28	1	
66	editar_cuentas_bancarias	Editar Cuentas Bancarias	Permiso para Editar Cuentas Bancarias	17	1	2025-03-14 13:16:28	1	
67	ver_cuentas_bancarias	Ver Cuentas Bancarias	Permiso para Ver Cuentas Bancarias	17	1	2025-03-14 13:16:28	1	
68	eliminar_cuentas_bancarias	Eliminar Cuentas Bancarias	Permiso para Eliminar Cuentas Bancarias	17	1	2025-03-14 13:16:28	1	
69	crear_detalles_almacenes	Crear Detalles Almacenes	Permiso para Crear Detalles Almacenes	18	1	2025-03-14 13:16:28	1	
70	editar_detalles_almacenes	Editar Detalles Almacenes	Permiso para Editar Detalles Almacenes	18	1	2025-03-14 13:16:28	1	
71	ver_detalles_almacenes	Ver Detalles Almacenes	Permiso para Ver Detalles Almacenes	18	1	2025-03-14 13:16:28	1	
72	eliminar_detalles_almacenes	Eliminar Detalles Almacenes	Permiso para Eliminar Detalles Almacenes	18	1	2025-03-14 13:16:28	1	
73	crear_detalles_cotizaciones_compras	Crear Detalles Cotizaciones Compras	Permiso para Crear Detalles Cotizaciones Compras	19	1	2025-03-14 13:16:28	1	
74	editar_detalles_cotizaciones_compras	Editar Detalles Cotizaciones Compras	Permiso para Editar Detalles Cotizaciones Compras	19	1	2025-03-14 13:16:28	1	
75	ver_detalles_cotizaciones_compras	Ver Detalles Cotizaciones Compras	Permiso para Ver Detalles Cotizaciones Compras	19	1	2025-03-14 13:16:28	1	
76	eliminar_detalles_cotizaciones_compras	Eliminar Detalles Cotizaciones Compras	Permiso para Eliminar Detalles Cotizaciones Compra...	19	1	2025-03-14 13:16:28	1	
77	crear_detalles_cuentas_bancarias	Crear Detalles Cuentas Bancarias	Permiso para Crear Detalles Cuentas Bancarias	20	1	2025-03-14 13:16:28	1	
